Filename,Touches
gpslogger/build.gradle,212
build.gradle,78
gpslogger/src/main/AndroidManifest.xml,59
gpslogger/src/main/java/com/mendhak/gpslogger/GeneralLocationListener.java,33
gpslogger/src/main/java/com/mendhak/gpslogger/GeneralNMEAListener.java,3
gpslogger/src/main/java/com/mendhak/gpslogger/GpsLoggingService.java,200
gpslogger/src/main/java/com/mendhak/gpslogger/common/Systems.java,17
gpslogger/src/main/res/values-it/strings.xml,46
gpslogger/src/main/res/values-uk/strings.xml,42
gpslogger/src/main/res/values-az/strings.xml,3
gpslogger/src/main/res/values-ca/strings.xml,15
gpslogger/src/main/res/values-cs/strings.xml,42
gpslogger/src/main/res/values-de/strings.xml,53
gpslogger/src/main/res/values-es-rES/strings.xml,29
gpslogger/src/main/res/values-es-rMX/strings.xml,29
gpslogger/src/main/res/values-fr/strings.xml,51
gpslogger/src/main/res/values-hr/strings.xml,25
gpslogger/src/main/res/values-ja/strings.xml,42
gpslogger/src/main/res/values-ko/strings.xml,22
gpslogger/src/main/res/values-ms/strings.xml,26
gpslogger/src/main/res/values-nl/strings.xml,39
gpslogger/src/main/res/values-pl/strings.xml,36
gpslogger/src/main/res/values-ru/strings.xml,45
gpslogger/src/main/res/values-tr/strings.xml,30
gpslogger/src/main/res/values-zh-rCN/strings.xml,27
gpslogger/src/main/res/values-zh-rTW/strings.xml,31
gpslogger/src/main/java/com/mendhak/gpslogger/ui/fragments/settings/CustomUrlFragment.java,30
gpslogger/src/main/java/com/mendhak/gpslogger/common/Locations.java,10
gpslogger/src/test/java/com/mendhak/gpslogger/common/LocationsTest.java,8
gpslogger/src/main/java/com/mendhak/gpslogger/common/Strings.java,28
gpslogger/src/main/java/com/mendhak/gpslogger/loggers/FileLoggerFactory.java,41
gpslogger/src/main/java/com/mendhak/gpslogger/loggers/customurl/CustomUrlLogger.java,45
gpslogger/src/main/res/values/strings.xml,123
gpslogger/src/test/java/com/mendhak/gpslogger/loggers/customurl/CustomUrlLoggerTest.java,32
.gitignore,30
gpslogger/src/test/java/com/mendhak/gpslogger/common/StringsTest.java,23
gpslogger/src/test/java/com/mendhak/gpslogger/loggers/FilesTest.java,2
gpslogger/src/test/java/com/mendhak/gpslogger/loggers/csv/CSVFileLoggerTest.java,11
gpslogger/src/test/java/com/mendhak/gpslogger/loggers/customurl/CustomUrlRequestTest.java,6
gpslogger/src/test/java/com/mendhak/gpslogger/loggers/gpx/Gpx10AnnotateHandlerTest.java,7
gpslogger/src/test/java/com/mendhak/gpslogger/loggers/gpx/Gpx10WriteHandlerTest.java,12
gpslogger/src/test/java/com/mendhak/gpslogger/loggers/gpx/Gpx11WriteHandlerTest.java,4
gpslogger/src/test/java/com/mendhak/gpslogger/loggers/kml/Kml22AnnotateHandlerTest.java,5
gpslogger/src/test/java/com/mendhak/gpslogger/loggers/nmea/NmeaSentenceTest.java,6
gpslogger/src/test/java/com/mendhak/gpslogger/senders/dropbox/DropBoxManagerTest.java,9
gpslogger/src/test/java/com/mendhak/gpslogger/senders/email/AutoEmailManagerTest.java,6
gpslogger/src/test/java/com/mendhak/gpslogger/senders/ftp/FtpManagerTest.java,6
gpslogger/src/test/java/com/mendhak/gpslogger/senders/googledrive/GoogleDriveManagerTest.java,4
gpslogger/src/test/java/com/mendhak/gpslogger/senders/opengts/OpenGTSManagerTest.java,8
gpslogger/src/test/java/com/mendhak/gpslogger/senders/osm/OpenStreetMapManagerTest.java,3
gpslogger/src/test/java/com/mendhak/gpslogger/senders/owncloud/OwnCloudManagerTest.java,5
gpslogger/src/test/java/com/mendhak/gpslogger/senders/sftp/SFTPManagerTest.java,2
gpslogger/src/test/java/com/mendhak/gpslogger/ui/DialogsTest.java,4
gpslogger/buildtools/ColoredOutput.gradle,6
.github/workflows/android.yml,5
README.md,87
gpslogger/src/main/java/com/mendhak/gpslogger/common/PreferenceHelper.java,53
gpslogger/src/main/res/values/arrays.xml,14
gradle/wrapper/gradle-wrapper.properties,23
assets/generate-pages/scaffolding/footer-pics.html,3
docs/index.html,42
gpslogger/src/main/java/com/mendhak/gpslogger/GpsMainActivity.java,180
gpslogger/src/main/java/com/mendhak/gpslogger/NotificationAnnotationActivity.java,24
gpslogger/src/main/java/com/mendhak/gpslogger/ui/Dialogs.java,10
gpslogger/src/main/java/com/mendhak/gpslogger/ui/fragments/display/GenericViewFragment.java,18
.travis.yml,73
gpslogger/src/main/res/layout/custom_autocomplete_view.xml,2
gpslogger/src/main/java/com/mendhak/gpslogger/loggers/Files.java,17
gpslogger/src/main/res/layout/custom_filename_view.xml,1
assets/text/faq/faq23-logs-missing-datafields.md,1
assets/text/faq/faq50-making-feature-requests.md,1
gpslogger/src/main/java/com/mendhak/gpslogger/Faqtivity.java,32
assets/text/faq/faq15-preset-files.md,2
assets/text/faq/faq19-profiles.md,2
assets/text/faq/faq19a-save-profiles.md,1
assets/text/faq/faq19b-profiles-link.md,1
assets/text/faq/faq19b-profiles-url.md,1
assets/text/faq/faq19c-profiles-local.md,1
assets/text/faq/images/19a_from_link_2.gif,1
assets/text/faq/images/19a_from_url_2.gif,1
assets/text/faq/images/19profiles_menu.png,1
docs/images/19a_from_link_2.gif,1
docs/images/19a_from_url_2.gif,1
docs/images/19profiles_menu.png,1
gpslogger/src/main/java/com/mendhak/gpslogger/common/events/ProfileEvents.java,7
gpslogger/src/main/res/drawable-mdpi/link_plus.png,1
gpslogger/src/main/java/com/mendhak/gpslogger/ProfileLinkReceiverActivity.java,7
